
Iterations = 5005:105000
Thinning interval = 5 
Number of chains = 1 
Sample size per chain = 20000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

            Mean      SD  Naive SE Time-series SE
r[5]     0.39743 0.04002 0.0002830      0.0002830
r[6]     0.46422 0.04735 0.0003348      0.0003348
r[7]     0.44135 0.04470 0.0003161      0.0003081
r[8]     0.44894 0.04542 0.0003211      0.0003211
r[9]     0.44559 0.04506 0.0003186      0.0003186
r[10]    0.48472 0.04932 0.0003487      0.0003512
r[11]    0.46384 0.04759 0.0003365      0.0003365
r[12]    0.41017 0.04135 0.0002924      0.0002924
r[13]    0.45258 0.04570 0.0003232      0.0003232
r[14]    0.45796 0.04681 0.0003310      0.0003364
r[15]    0.45900 0.04642 0.0003282      0.0003282
r[16]    0.44597 0.04530 0.0003203      0.0003203
r[17]    0.46562 0.04736 0.0003349      0.0003349
r[18]    0.44811 0.04535 0.0003207      0.0003244
r[19]    0.43898 0.04453 0.0003148      0.0003074
r[20]    0.44372 0.04518 0.0003195      0.0003195
r[21]    0.42735 0.04306 0.0003045      0.0003000
r[22]    0.46821 0.04770 0.0003373      0.0003413
r[23]    0.47322 0.04855 0.0003433      0.0003433
r[24]    0.45516 0.04611 0.0003260      0.0003260
r[25]    0.46980 0.04795 0.0003390      0.0003390
r[26]    0.44706 0.04530 0.0003203      0.0003203
r[27]    0.44621 0.04517 0.0003194      0.0003194
r[28]    0.42367 0.04273 0.0003021      0.0003026
r[29]    0.45339 0.04625 0.0003271      0.0003271
r[30]    0.44764 0.04518 0.0003195      0.0003195
r[31]    0.45100 0.04585 0.0003242      0.0003194
r[32]    0.46423 0.04706 0.0003328      0.0003328
r[33]    0.43879 0.04428 0.0003131      0.0003131
r[34]    0.46842 0.04758 0.0003364      0.0003364
r[35]    0.47252 0.04796 0.0003392      0.0003392
r[36]    0.46933 0.04814 0.0003404      0.0003404
r[37]    0.45051 0.04551 0.0003218      0.0003218
r[38]    0.45895 0.04657 0.0003293      0.0003368
r[39]    0.45998 0.04688 0.0003315      0.0003315
r[40]    0.46290 0.04699 0.0003323      0.0003323
r[41]    0.45583 0.04626 0.0003271      0.0003366
r[42]    0.45671 0.04626 0.0003271      0.0003316
r[43]    0.44204 0.04468 0.0003159      0.0003171
r[44]    0.43230 0.04342 0.0003071      0.0003102
r[45]    0.44826 0.04517 0.0003194      0.0003228
r[46]    0.49322 0.05039 0.0003563      0.0003563
r[47]    0.45703 0.04610 0.0003260      0.0003260
r[48]    0.48624 0.04964 0.0003510      0.0003510
r[49]    0.50473 0.05167 0.0003654      0.0003654
r[50]    0.52452 0.05389 0.0003811      0.0003869
r[51]    0.51689 0.05284 0.0003736      0.0003736
r[52]    0.52023 0.05368 0.0003796      0.0003796
r[53]    0.48540 0.04900 0.0003465      0.0003465
r[54]    0.49341 0.05025 0.0003553      0.0003553
r[55]    0.48440 0.04867 0.0003442      0.0003442
r[56]    0.44211 0.04396 0.0003108      0.0003108
r[57]    0.45811 0.04587 0.0003243      0.0003295
r[58]    0.46990 0.04758 0.0003365      0.0003365
r[59]    0.46529 0.04666 0.0003299      0.0003299
r[60]    0.42438 0.04202 0.0002972      0.0002972
r[61]    0.47419 0.04752 0.0003360      0.0003360
r[62]    0.44170 0.04402 0.0003113      0.0003113
r[63]    0.47193 0.04774 0.0003376      0.0003376
r[64]    0.53368 0.05442 0.0003848      0.0003848
r[65]    0.44668 0.04486 0.0003172      0.0003172
r[66]    0.51575 0.05291 0.0003741      0.0003741
r[67]    0.48135 0.04881 0.0003452      0.0003452
r[68]    0.46527 0.04628 0.0003272      0.0003175
r[69]    0.51375 0.05158 0.0003648      0.0003648
r[70]    0.51672 0.05262 0.0003721      0.0003721
r[71]    0.59069 0.06127 0.0004332      0.0004332
r[72]    0.55313 0.05669 0.0004008      0.0003884
r[73]    0.55849 0.05705 0.0004034      0.0003985
r[74]    0.53868 0.05430 0.0003840      0.0003840
r[75]    0.54767 0.05514 0.0003899      0.0003899
r[76]    0.51061 0.05212 0.0003686      0.0003805
r[77]    0.56444 0.05807 0.0004106      0.0004106
r[78]    0.49616 0.04943 0.0003495      0.0003544
r[79]    0.49566 0.05014 0.0003546      0.0003546
r[80]    0.47745 0.04783 0.0003382      0.0003382
r[81]    0.48874 0.04909 0.0003471      0.0003555
r[82]    0.48710 0.04918 0.0003477      0.0003477
r[83]    0.41930 0.04154 0.0002937      0.0002937
r[84]    0.46014 0.04692 0.0003318      0.0003318
r[85]    0.46347 0.04677 0.0003307      0.0003441
r[86]    0.51443 0.05281 0.0003734      0.0003870
r[87]    0.48403 0.04900 0.0003465      0.0003465
r[88]    0.47069 0.04780 0.0003380      0.0003380
r[89]    0.51659 0.05269 0.0003725      0.0003777
r[90]    0.49266 0.05000 0.0003535      0.0003535
r[91]    0.51631 0.05253 0.0003714      0.0003702
r[92]    0.49788 0.05100 0.0003606      0.0003529
r[93]    0.46498 0.04634 0.0003277      0.0003365
r[94]    0.46523 0.04706 0.0003328      0.0003328
r[95]    0.51442 0.05264 0.0003722      0.0003722
r[96]    0.49147 0.05028 0.0003555      0.0003555
r[97]    0.51126 0.05237 0.0003703      0.0003703
r[98]    0.50303 0.05164 0.0003652      0.0003652
r[99]    0.49436 0.05031 0.0003557      0.0003597
r[100]   0.47237 0.04774 0.0003376      0.0003376
r[101]   0.56085 0.05778 0.0004085      0.0004181
r[102]   0.51973 0.05294 0.0003744      0.0003744
r[103]   0.49662 0.04996 0.0003532      0.0003532
r[104]   0.49128 0.04991 0.0003529      0.0003614
r[105]   0.47134 0.04747 0.0003356      0.0003356
r[106]   0.42125 0.04151 0.0002935      0.0002935
r[107]   0.45120 0.04507 0.0003187      0.0003187
r[108]   0.45629 0.04579 0.0003238      0.0003313
r[109]   0.44287 0.04436 0.0003137      0.0003058
r[110]   0.43656 0.04318 0.0003054      0.0003054
r[111]   0.45887 0.04571 0.0003232      0.0003232
r[112]   0.49394 0.04980 0.0003522      0.0003522
r[113]   0.50856 0.05078 0.0003591      0.0003591
r[114]   0.53139 0.05289 0.0003740      0.0003740
r[115]   0.51396 0.05147 0.0003640      0.0003640
r[116]   0.46175 0.04584 0.0003242      0.0003242
r[117]   0.47927 0.04755 0.0003362      0.0003358
r[118]   0.55367 0.05545 0.0003921      0.0003921
r[119]   0.50136 0.04996 0.0003533      0.0003533
r[120]   0.53278 0.05339 0.0003775      0.0003775
r[121]   0.51963 0.05193 0.0003672      0.0003662
r[122]   0.51206 0.05130 0.0003627      0.0003627
r[123]   0.51859 0.05167 0.0003654      0.0003654
r[124]   0.50589 0.05048 0.0003569      0.0003569
r[125]   0.48226 0.04757 0.0003364      0.0003536
r[126]   0.49509 0.04959 0.0003507      0.0003507
r[127]   0.47137 0.04649 0.0003288      0.0003288
r[128]   0.50330 0.05052 0.0003572      0.0003680
r[129]   0.45628 0.04504 0.0003185      0.0003105
r[130]   0.46798 0.04687 0.0003314      0.0003314
r[131]   0.53268 0.05363 0.0003792      0.0003792
r[132]   0.49728 0.04966 0.0003512      0.0003512
r[133]   0.46689 0.04629 0.0003273      0.0003273
r[134]   0.45282 0.04452 0.0003148      0.0003148
r[135]   0.49539 0.04930 0.0003486      0.0003346
r[136]   0.44541 0.04364 0.0003086      0.0003086
r[137]   0.45442 0.04437 0.0003137      0.0003137
r[138]   0.51590 0.05161 0.0003649      0.0003698
r[139]   0.48328 0.04770 0.0003373      0.0003373
r[140]   0.47760 0.04688 0.0003315      0.0003315
r[141]   0.48902 0.04864 0.0003440      0.0003483
r[142]   0.50474 0.05051 0.0003571      0.0003571
r[143]   0.53109 0.05363 0.0003792      0.0003792
r[144]   0.56537 0.05671 0.0004010      0.0004010
r[145]   0.52948 0.05260 0.0003719      0.0003679
r[146]   0.54083 0.05478 0.0003874      0.0003831
r[147]   0.47349 0.04751 0.0003359      0.0003359
r[148]   0.45844 0.04510 0.0003189      0.0003154
r[149]   0.50710 0.05071 0.0003586      0.0003586
r[150]   0.49078 0.04840 0.0003422      0.0003422
r[151]   0.46395 0.04557 0.0003222      0.0003222
r[152]   0.50803 0.05077 0.0003590      0.0003590
r[153]   0.47798 0.04710 0.0003330      0.0003358
r[154]   0.51358 0.05132 0.0003629      0.0003629
r[155]   0.47083 0.04567 0.0003229      0.0003229
r[156]   0.53722 0.05416 0.0003830      0.0003830
r[157]   0.52487 0.05218 0.0003690      0.0003690
r[158]   0.54938 0.05546 0.0003921      0.0003921
r[159]   0.46412 0.04570 0.0003231      0.0003393
r[160]   0.49761 0.04941 0.0003494      0.0003494
r[161]   0.49714 0.04923 0.0003481      0.0003481
r[162]   0.48899 0.04838 0.0003421      0.0003421
r[163]   0.47056 0.04709 0.0003330      0.0003330
r[164]   0.44645 0.04353 0.0003078      0.0003078
r[165]   0.47493 0.04728 0.0003343      0.0003343
r[166]   0.44785 0.04380 0.0003097      0.0003097
r[167]   0.47494 0.04681 0.0003310      0.0003310
r[168]   0.43604 0.04300 0.0003040      0.0003040
r[169]   0.50595 0.05046 0.0003568      0.0003526
r[170]   0.46712 0.04623 0.0003269      0.0003269
r[171]   0.51252 0.05051 0.0003572      0.0003621
r[172]   0.46986 0.04636 0.0003278      0.0003278
r[173]   0.45843 0.04507 0.0003187      0.0003187
r[174]   0.46186 0.04568 0.0003230      0.0003230
r[175]   0.46982 0.04646 0.0003285      0.0003285
r[176]   0.50218 0.04997 0.0003533      0.0003630
r[177]   0.50273 0.05040 0.0003564      0.0003564
r[178]   0.52457 0.05259 0.0003719      0.0003719
r[179]   0.52153 0.05265 0.0003723      0.0003723
r[180]   0.52101 0.05260 0.0003720      0.0003720
r[181]   0.50947 0.05080 0.0003592      0.0003592
r[182]   0.55185 0.05552 0.0003926      0.0003926
r[183]   0.54166 0.05437 0.0003844      0.0003910
r[184]   0.45743 0.04495 0.0003179      0.0003179
r[185]   0.49351 0.04910 0.0003472      0.0003514
r[186]   0.57268 0.05788 0.0004093      0.0004093
r[187]   0.54927 0.05523 0.0003905      0.0003905
r[188]   0.51461 0.05076 0.0003589      0.0003589
r[189]   0.55164 0.05521 0.0003904      0.0003904
r[190]   0.56596 0.05713 0.0004040      0.0004094
r[191]   0.49480 0.04944 0.0003496      0.0003496
r[192]   0.52846 0.05294 0.0003743      0.0003743
r[193]   0.41402 0.04018 0.0002841      0.0002771
r[194]   0.38414 0.03687 0.0002607      0.0002607
r[195]   0.43683 0.04245 0.0003002      0.0003002
r[196]   0.42161 0.04109 0.0002905      0.0002905
r[197]   0.41588 0.04052 0.0002865      0.0002865
r[198]   0.47094 0.04686 0.0003314      0.0003314
r[199]   0.45543 0.04482 0.0003169      0.0003169
r[200]   0.41687 0.04064 0.0002874      0.0002874
r[201]   0.48439 0.04823 0.0003410      0.0003410
r[202]   0.45956 0.04519 0.0003195      0.0003245
r[203]   0.44908 0.04384 0.0003100      0.0003100
r[204]   0.48122 0.04729 0.0003344      0.0003376
r[205]   0.50009 0.05039 0.0003563      0.0003603
r[206]   0.45908 0.04471 0.0003162      0.0003162
r[207]   0.47533 0.04706 0.0003328      0.0003328
r[208]   0.45716 0.04546 0.0003214      0.0003214
r[209]   0.46454 0.04597 0.0003251      0.0003316
r[210]   0.46752 0.04570 0.0003232      0.0003159
r[211]   0.47161 0.04665 0.0003298      0.0003298
r[212]   0.45154 0.04414 0.0003121      0.0003121
r[213]   0.47183 0.04701 0.0003324      0.0003324
r[214]   0.47019 0.04671 0.0003303      0.0003303
r[215]   0.43739 0.04289 0.0003033      0.0003033
r[216]   0.45250 0.04478 0.0003166      0.0003199
r[217]   0.43143 0.04277 0.0003024      0.0002964
r[218]   0.43942 0.04305 0.0003044      0.0003044
r[219]   0.47022 0.04615 0.0003263      0.0003263
r[220]   0.49109 0.04891 0.0003458      0.0003476
r[221]   0.51053 0.05055 0.0003574      0.0003574
r[222]   0.43754 0.04260 0.0003012      0.0003012
r[223]   0.39963 0.03845 0.0002719      0.0002719
r[224]   0.41054 0.04001 0.0002829      0.0002829
r[225]   0.44389 0.04365 0.0003086      0.0003086
r[226]   0.46198 0.04554 0.0003220      0.0003220
r[227]   0.48645 0.04874 0.0003446      0.0003366
r[228]   0.40721 0.03920 0.0002772      0.0002844
r[229]   0.37269 0.03618 0.0002559      0.0002559
r[230]   0.41061 0.03956 0.0002798      0.0002798
r[231]   0.43772 0.04270 0.0003020      0.0003020
r[232]   0.43592 0.04284 0.0003029      0.0003029
r[233]   0.43324 0.04210 0.0002977      0.0003029
r[234]   0.41623 0.04034 0.0002852      0.0002852
r[235]   0.42813 0.04212 0.0002979      0.0002979
r[236]   0.40994 0.04033 0.0002852      0.0002852
r[237]   0.41960 0.04083 0.0002887      0.0002887
r[238]   0.46650 0.04583 0.0003241      0.0003188
r[239]   0.47341 0.04687 0.0003314      0.0003314
r[240]   0.45067 0.04428 0.0003131      0.0003209
r[241]   0.39135 0.03760 0.0002658      0.0002658
 [ reached getOption("max.print") -- omitted 63 rows ]

2. Quantiles for each variable:

            2.5%      25%      50%      75%     97.5%
beta[1]  1.58066  1.64113  1.67335  1.70126  1.753482
beta[2]  1.43394  1.47374  1.49542  1.51562  1.555589
beta[3] -0.59713 -0.55502 -0.53275 -0.51085 -0.465833
beta[4] -0.27512 -0.23030 -0.20778 -0.18428 -0.135980
beta[5]  2.30062  2.38009  2.41686  2.45490  2.534217
beta[6] -0.05342 -0.03414 -0.02464 -0.01499  0.003136
beta[7] -0.93549 -0.87587 -0.85009 -0.82609 -0.780554
beta[8]  1.06188  1.11522  1.14466  1.17607  1.250383
beta[9]  0.18087  0.18984  0.164386 0.19885  0.215212
r[1]     0.25321  0.28714  0.30677  0.32763  0.370740
r[2]     0.26431  0.30082  0.32172  0.34358  0.387965
r[3]     0.26289  0.29977  0.32034  0.34169  0.386598
r[4]     0.25692  0.29351  0.31364  0.33461  0.377647
r[5]     0.32365  0.36946  0.39584  0.42365  0.480577
r[6]     0.37709  0.43116  0.46239  0.49431  0.563165
r[7]     0.35894  0.41035  0.43984  0.47012  0.534154
r[8]     0.36437  0.41768  0.44705  0.47853  0.544392
r[9]     0.36290  0.41426  0.44410  0.47446  0.539550
r[10]    0.39361  0.45041  0.48267  0.51701  0.586221
r[11]    0.37548  0.43102  0.46196  0.49442  0.563625
r[12]    0.33350  0.38168  0.40892  0.43700  0.495206
r[13]    0.36711  0.42103  0.45069  0.48258  0.546670
r[14]    0.37103  0.42545  0.45611  0.48890  0.553917
r[15]    0.37270  0.42703  0.45701  0.48894  0.554796
r[16]    0.36217  0.41454  0.44423  0.47547  0.540110
r[17]    0.37810  0.43262  0.46372  0.49677  0.563296
r[18]    0.36422  0.41702  0.44625  0.47754  0.542632
r[19]    0.35810  0.40780  0.43712  0.46754  0.532403
r[20]    0.36066  0.41218  0.44212  0.47320  0.536804
r[21]    0.34710  0.39741  0.42592  0.45530  0.516137
r[22]    0.37973  0.43498  0.46634  0.49956  0.566034
r[23]    0.38320  0.43989  0.47147  0.50475  0.573219
r[24]    0.37033  0.42305  0.45307  0.48493  0.550723
r[25]    0.38306  0.43625  0.46757  0.50097  0.569759
r[26]    0.36434  0.41557  0.44503  0.47634  0.540794
r[27]    0.36214  0.41512  0.44419  0.47586  0.539914
r[28]    0.34496  0.39396  0.42170  0.45123  0.512557
r[29]    0.36921  0.42122  0.45144  0.48348  0.550423
r[30]    0.36423  0.41619  0.44583  0.47668  0.542062
r[31]    0.36649  0.41912  0.44909  0.48071  0.546379
r[32]    0.37739  0.43149  0.46238  0.49508  0.560917
r[33]    0.35692  0.40805  0.43727  0.46738  0.530684
r[34]    0.38027  0.43535  0.46665  0.49941  0.566607
r[35]    0.38396  0.43940  0.47043  0.50385  0.572228
r[36]    0.38082  0.43588  0.46723  0.50065  0.569681
r[37]    0.36605  0.41888  0.44866  0.47999  0.543893
r[38]    0.37313  0.42679  0.45710  0.48945  0.555336
r[39]    0.37316  0.42748  0.45768  0.49022  0.557718
r[40]    0.37529  0.43062  0.46057  0.49380  0.559960
r[41]    0.36969  0.42378  0.45404  0.48597  0.551807
r[42]    0.37129  0.42493  0.45477  0.48654  0.551897
r[43]    0.36001  0.41082  0.44032  0.47098  0.535784
r[44]    0.35293  0.40207  0.43040  0.46041  0.522027
r[45]    0.36446  0.41703  0.44662  0.47765  0.541305
r[46]    0.40017  0.45887  0.49116  0.52587  0.597040
r[47]    0.37268  0.42496  0.45511  0.48681  0.553137
r[48]    0.39437  0.45175  0.48434  0.51886  0.588940
r[49]    0.40997  0.46874  0.50253  0.53832  0.612505
r[50]    0.42600  0.48758  0.52208  0.55925  0.636995
r[51]    0.42044  0.48046  0.51454  0.55134  0.626397
r[52]    0.42196  0.48325  0.51793  0.55518  0.630900
r[53]    0.39516  0.45118  0.48350  0.51716  0.587217
r[54]    0.40119  0.45827  0.49124  0.52634  0.597796
r[55]    0.39509  0.45062  0.48161  0.51645  0.586729
r[56]    0.36186  0.41153  0.44053  0.47092  0.532653
r[57]    0.37349  0.42584  0.45618  0.48803  0.551980
r[58]    0.38161  0.43727  0.46803  0.50079  0.567304
r[59]    0.37982  0.43267  0.46366  0.49577  0.561475
r[60]    0.34636  0.39537  0.42319  0.45177  0.511139
r[61]    0.38616  0.44108  0.47279  0.50524  0.571292
r[62]    0.36118  0.41149  0.43981  0.47001  0.533010
r[63]    0.38324  0.43913  0.46994  0.50311  0.570378
r[64]    0.43346  0.49553  0.53118  0.56922  0.646760
r[65]    0.36434  0.41553  0.44477  0.47561  0.541388
r[66]    0.41756  0.47894  0.51399  0.55060  0.623307
r[67]    0.39140  0.44742  0.47939  0.51285  0.583550
r[68]    0.37920  0.43346  0.46383  0.49556  0.561482
r[69]    0.41823  0.47791  0.51184  0.54752  0.619756
r[70]    0.42018  0.48012  0.51464  0.55049  0.624873
r[71]    0.47870  0.54787  0.58859  0.63042  0.717074
r[72]    0.44744  0.51443  0.55061  0.58993  0.670942
r[73]    0.45273  0.51877  0.55652  0.59614  0.674864
r[74]    0.43907  0.50094  0.53633  0.57407  0.650968
r[75]    0.44567  0.50895  0.54547  0.58354  0.661618
r[76]    0.41428  0.47434  0.50829  0.54452  0.619227
r[77]    0.45801  0.52397  0.56205  0.60222  0.685859
r[78]    0.40501  0.46199  0.49437  0.52838  0.599658
r[79]    0.40374  0.46069  0.49336  0.52853  0.599629
r[80]    0.38897  0.44390  0.47552  0.50899  0.576772
r[81]    0.39789  0.45451  0.48674  0.52055  0.591432
r[82]    0.39673  0.45303  0.48492  0.51881  0.589497
r[83]    0.34276  0.39066  0.41775  0.44628  0.504758
r[84]    0.37521  0.42746  0.45784  0.49068  0.557957
r[85]    0.37746  0.43113  0.46127  0.49439  0.560639
r[86]    0.41788  0.47783  0.51212  0.54842  0.624594
r[87]    0.39341  0.44983  0.48190  0.51582  0.585848
r[88]    0.38199  0.43767  0.46908  0.50127  0.570367
r[89]    0.41886  0.47971  0.51476  0.55122  0.625135
r[90]    0.40038  0.45832  0.48996  0.52523  0.596477
r[91]    0.41918  0.48010  0.51380  0.54986  0.626285
r[92]    0.40375  0.46294  0.49573  0.53046  0.605883
r[93]    0.37862  0.43307  0.46329  0.49531  0.561917
r[94]    0.37746  0.43293  0.46291  0.49607  0.562546
r[95]    0.41753  0.47813  0.51229  0.54840  0.623740
r[96]    0.39811  0.45702  0.48955  0.52409  0.595388
r[97]    0.41553  0.47503  0.50914  0.54526  0.619847
r[98]    0.40819  0.46672  0.50124  0.53634  0.610726
r[99]    0.40176  0.45964  0.49216  0.52664  0.599231
r[100]   0.38366  0.43917  0.47075  0.50347  0.570178
r[101]   0.45418  0.52073  0.55917  0.59840  0.679032
r[102]   0.42147  0.48282  0.51762  0.55401  0.628357
r[103]   0.40457  0.46231  0.49481  0.52905  0.600112
r[104]   0.39886  0.45659  0.48960  0.52365  0.593892
r[105]   0.38361  0.43808  0.46946  0.50236  0.569019
r[106]   0.34372  0.39275  0.41947  0.44835  0.506924
r[107]   0.36800  0.41993  0.44919  0.48071  0.543977
r[108]   0.37206  0.42451  0.45416  0.48631  0.551781
r[109]   0.36190  0.41195  0.44111  0.47142  0.534511
r[110]   0.35739  0.40646  0.43471  0.46448  0.525246
r[111]   0.37487  0.42673  0.45736  0.48878  0.553134
r[112]   0.40248  0.45952  0.49212  0.52641  0.595766
r[113]   0.41466  0.47367  0.50664  0.54200  0.612728
r[114]   0.43361  0.49479  0.52938  0.56563  0.642559
r[115]   0.41932  0.47835  0.51197  0.54691  0.621734
r[116]   0.37709  0.42964  0.46008  0.49170  0.556644
r[117]   0.39028  0.44607  0.47773  0.51062  0.577242
r[118]   0.45076  0.51484  0.55150  0.59000  0.666914
r[119]   0.40853  0.46658  0.49943  0.53370  0.604212
r[120]   0.43495  0.49546  0.53082  0.56738  0.643875
r[121]   0.42235  0.48390  0.51786  0.55330  0.626645
r[122]   0.41720  0.47652  0.51022  0.54554  0.618509
r[123]   0.42371  0.48280  0.51682  0.55175  0.625703
r[124]   0.41455  0.47101  0.50298  0.53939  0.610190
r[125]   0.39281  0.44906  0.48101  0.51340  0.578905
r[126]   0.40335  0.46076  0.49344  0.52745  0.597181
r[127]   0.38561  0.43900  0.46963  0.50165  0.568374
r[128]   0.40987  0.46836  0.50138  0.53628  0.608013
r[129]   0.37304  0.42505  0.45464  0.48550  0.550544
r[130]   0.38212  0.43578  0.46616  0.49850  0.563771
r[131]   0.43246  0.49601  0.53048  0.56740  0.642597
r[132]   0.40474  0.46265  0.49527  0.52985  0.600068
r[133]   0.38173  0.43502  0.46543  0.49671  0.561676
r[134]   0.36978  0.42200  0.45111  0.48178  0.543630
r[135]   0.40322  0.46151  0.49335  0.52717  0.596714
r[136]   0.36414  0.41515  0.44371  0.47381  0.534485
r[137]   0.37226  0.42361  0.45261  0.48305  0.546655
r[138]   0.41900  0.48067  0.51368  0.54973  0.621162
r[139]   0.39359  0.45058  0.48167  0.51418  0.581772
r[140]   0.39072  0.44500  0.47580  0.50810  0.573592
r[141]   0.39984  0.45522  0.48696  0.52057  0.589709
r[142]   0.41177  0.46933  0.50293  0.53786  0.608964
r[143]   0.43184  0.49393  0.52901  0.56627  0.642890
r[144]   0.45971  0.52638  0.56335  0.60332  0.682547
r[145]   0.43271  0.49259  0.52796  0.56398  0.638893
r[146]   0.43895  0.50317  0.53826  0.57667  0.654739
r[147]   0.38516  0.44072  0.47185  0.50449  0.570934
r[148]   0.37590  0.42749  0.45597  0.48804  0.552234
r[149]   0.41401  0.47177  0.50506  0.54026  0.612455
r[150]   0.40118  0.45733  0.48883  0.52225  0.590812
r[151]   0.37931  0.43230  0.46233  0.49401  0.556392
r[152]   0.41494  0.47291  0.50588  0.54128  0.612433
r[153]   0.39159  0.44527  0.47621  0.50844  0.574877
r[154]   0.41893  0.47870  0.51145  0.54718  0.619994
r[155]   0.38640  0.43919  0.46934  0.50144  0.564274
r[156]   0.43753  0.49921  0.53450  0.57228  0.649331
r[157]   0.42748  0.48790  0.52304  0.55867  0.633059
r[158]   0.44669  0.51128  0.54704  0.58588  0.663225
r[159]   0.38012  0.43243  0.46230  0.49343  0.558842
r[160]   0.40634  0.46293  0.49593  0.53000  0.599651
r[161]   0.40703  0.46282  0.49549  0.52895  0.599673
r[162]   0.39906  0.45529  0.48763  0.52051  0.588285
r[163]   0.38398  0.43819  0.46850  0.50116  0.567951
r[164]   0.36655  0.41604  0.44498  0.47501  0.536726
r[165]   0.38754  0.44194  0.47345  0.50608  0.572361
r[166]   0.36668  0.41766  0.44620  0.47606  0.538506
r[167]   0.38781  0.44276  0.47326  0.50552  0.570274
r[168]   0.35674  0.40637  0.43412  0.46375  0.524999
r[169]   0.41362  0.47039  0.50391  0.53897  0.611169
r[170]   0.38112  0.43519  0.46521  0.49720  0.562590
r[171]   0.41918  0.47733  0.51029  0.54576  0.616182
r[172]   0.38474  0.43737  0.46789  0.50000  0.566888
r[173]   0.37553  0.42718  0.45673  0.48796  0.551107
r[174]   0.37786  0.43049  0.46006  0.49173  0.555557
r[175]   0.38473  0.43753  0.46760  0.49995  0.565424
r[176]   0.40978  0.46787  0.50017  0.53430  0.606342
r[177]   0.40948  0.46780  0.50055  0.53568  0.607609
r[178]   0.42794  0.48769  0.52293  0.55892  0.633866
r[179]   0.42502  0.48444  0.51954  0.55574  0.630920
r[180]   0.42389  0.48487  0.51878  0.55486  0.629259
r[181]   0.41510  0.47421  0.50766  0.54277  0.613659
r[182]   0.45040  0.51339  0.54911  0.58703  0.667185
r[183]   0.44157  0.50399  0.53966  0.57695  0.653045
r[184]   0.37385  0.42639  0.45578  0.48619  0.551169
r[185]   0.40347  0.45914  0.49154  0.52561  0.595402
r[186]   0.46681  0.53263  0.57016  0.60984  0.693949
r[187]   0.44743  0.51052  0.54757  0.58541  0.662254
r[188]   0.41967  0.47929  0.51302  0.54739  0.620385
r[189]   0.44930  0.51327  0.54973  0.58760  0.665527
r[190]   0.46168  0.52655  0.56338  0.60308  0.684676
r[191]   0.40350  0.46045  0.49327  0.52668  0.596851
 [ reached getOption("max.print") -- omitted 113 rows ]

