
Iterations = 5005:105000
Thinning interval = 5 
Number of chains = 1 
Sample size per chain = 20000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

            Mean      SD  Naive SE Time-series SE
r[102]   0.52010 0.05240 3.705e-04      0.0003746
r[103]   0.49604 0.05099 3.605e-04      0.0003605
r[104]   0.49154 0.04964 3.510e-04      0.0003510
r[105]   0.47172 0.04717 3.336e-04      0.0003336
r[106]   0.42047 0.04152 2.936e-04      0.0002867
r[107]   0.45199 0.04524 3.199e-04      0.0003176
r[108]   0.45609 0.04548 3.216e-04      0.0003175
r[109]   0.44314 0.04434 3.136e-04      0.0003136
r[110]   0.43716 0.04302 3.042e-04      0.0003063
r[111]   0.45841 0.04585 3.242e-04      0.0003242
r[112]   0.49409 0.04898 3.463e-04      0.0003542
r[113]   0.50835 0.05105 3.610e-04      0.0003610
r[114]   0.53116 0.05315 3.758e-04      0.0003803
r[115]   0.51442 0.05180 3.663e-04      0.0003663
r[116]   0.46086 0.04585 3.242e-04      0.0003242
r[117]   0.47892 0.04686 3.313e-04      0.0003313
r[118]   0.55353 0.05539 3.917e-04      0.0003964
r[119]   0.50066 0.04985 3.525e-04      0.0003525
r[120]   0.53259 0.05368 3.796e-04      0.0003796
r[121]   0.51976 0.05190 3.670e-04      0.0003903
r[122]   0.51196 0.05109 3.613e-04      0.0003613
r[123]   0.51918 0.05218 3.690e-04      0.0003690
r[124]   0.50560 0.05105 3.610e-04      0.0003610
r[125]   0.48224 0.04758 3.364e-04      0.0003364
r[126]   0.49566 0.04966 3.512e-04      0.0003533
r[127]   0.47199 0.04700 3.323e-04      0.0003323
r[128]   0.50362 0.05009 3.542e-04      0.0003542
r[129]   0.45559 0.04504 3.185e-04      0.0003185
r[130]   0.46837 0.04649 3.287e-04      0.0003287
r[131]   0.53207 0.05345 3.780e-04      0.0003780
r[132]   0.49707 0.04968 3.513e-04      0.0003513
r[133]   0.46678 0.04595 3.249e-04      0.0003300
r[134]   0.45319 0.04480 3.168e-04      0.0003338
r[135]   0.49622 0.04968 3.513e-04      0.0003513
r[136]   0.44494 0.04371 3.090e-04      0.0003090
r[137]   0.45373 0.04491 3.175e-04      0.0003175
r[138]   0.51577 0.05163 3.651e-04      0.0003651
r[139]   0.48332 0.04781 3.380e-04      0.0003286
r[140]   0.47743 0.04711 3.331e-04      0.0003331
r[141]   0.48956 0.04868 3.442e-04      0.0003442
r[142]   0.50557 0.05033 3.559e-04      0.0003559
r[143]   0.53127 0.05289 3.740e-04      0.0003740
r[144]   0.56577 0.05691 4.024e-04      0.0004090
r[145]   0.52921 0.05255 3.716e-04      0.0003673
r[146]   0.54154 0.05484 3.878e-04      0.0003878
r[147]   0.47329 0.04698 3.322e-04      0.0003322
r[148]   0.45816 0.04512 3.191e-04      0.0003191
r[149]   0.50694 0.05071 3.586e-04      0.0003586
r[150]   0.49112 0.04852 3.431e-04      0.0003431
r[151]   0.46362 0.04577 3.236e-04      0.0003236
r[152]   0.50796 0.05067 3.583e-04      0.0003587
r[153]   0.47785 0.04778 3.379e-04      0.0003379
r[154]   0.51333 0.05122 3.622e-04      0.0003622
r[155]   0.47070 0.04634 3.277e-04      0.0003277
r[156]   0.53757 0.05450 3.854e-04      0.0003826
r[157]   0.52527 0.05218 3.690e-04      0.0003690
r[158]   0.54940 0.05563 3.934e-04      0.0003934
r[159]   0.46402 0.04573 3.233e-04      0.0003346
r[160]   0.49738 0.04979 3.521e-04      0.0003521
r[161]   0.49666 0.04969 3.514e-04      0.0003514
r[162]   0.48873 0.04869 3.443e-04      0.0003445
r[163]   0.47019 0.04695 3.320e-04      0.0003320
r[164]   0.44708 0.04379 3.096e-04      0.0003096
r[165]   0.47585 0.04738 3.350e-04      0.0003350
r[166]   0.44868 0.04386 3.101e-04      0.0003101
r[167]   0.47443 0.04660 3.295e-04      0.0003295
r[168]   0.43522 0.04291 3.034e-04      0.0003034
r[169]   0.50566 0.05035 3.561e-04      0.0003370
r[170]   0.46800 0.04586 3.243e-04      0.0003243
r[171]   0.51138 0.05079 3.592e-04      0.0003592
r[172]   0.46963 0.04669 3.302e-04      0.0003302
r[173]   0.45832 0.04521 3.197e-04      0.0003197
r[174]   0.46304 0.04546 3.214e-04      0.0003214
r[175]   0.46931 0.04652 3.290e-04      0.0003325
r[176]   0.50273 0.05049 3.570e-04      0.0003570
r[177]   0.50296 0.04989 3.527e-04      0.0003527
r[178]   0.52378 0.05242 3.707e-04      0.0003641
r[179]   0.52183 0.05257 3.717e-04      0.0003717
r[180]   0.52146 0.05211 3.685e-04      0.0003640
r[181]   0.50983 0.05064 3.581e-04      0.0003617
r[182]   0.55080 0.05591 3.954e-04      0.0003954
r[183]   0.54243 0.05436 3.844e-04      0.0003903
r[184]   0.45801 0.04487 3.173e-04      0.0003173
r[185]   0.49315 0.04907 3.470e-04      0.0003470
r[186]   0.57166 0.05768 4.079e-04      0.0004079
r[187]   0.54870 0.05540 3.917e-04      0.0003917
r[188]   0.51391 0.05131 3.628e-04      0.0003628
r[189]   0.55146 0.05486 3.879e-04      0.0003961
r[190]   0.56594 0.05713 4.039e-04      0.0004099
r[191]   0.49435 0.04930 3.486e-04      0.0003661
r[192]   0.52776 0.05274 3.729e-04      0.0003729
r[193]   0.41462 0.04055 2.867e-04      0.0002867
r[194]   0.38409 0.03743 2.646e-04      0.0002646
r[195]   0.43674 0.04255 3.009e-04      0.0003009
r[196]   0.42121 0.04126 2.917e-04      0.0002989
r[197]   0.41556 0.04058 2.870e-04      0.0002836
r[198]   0.47063 0.04651 3.289e-04      0.0003306
r[199]   0.45601 0.04490 3.175e-04      0.0003141
r[200]   0.41699 0.04070 2.878e-04      0.0002878
r[201]   0.48428 0.04770 3.373e-04      0.0003373
r[202]   0.45914 0.04535 3.206e-04      0.0003231
r[203]   0.44945 0.04407 3.116e-04      0.0003116
r[204]   0.48184 0.04771 3.373e-04      0.0003373
r[205]   0.50016 0.04990 3.528e-04      0.0003556
r[206]   0.45938 0.04497 3.180e-04      0.0003180
r[207]   0.47547 0.04727 3.343e-04      0.0003343
r[208]   0.45585 0.04470 3.161e-04      0.0003161
r[209]   0.46432 0.04583 3.241e-04      0.0003241
r[210]   0.46680 0.04588 3.245e-04      0.0003245
r[211]   0.47130 0.04640 3.281e-04      0.0003281
r[212]   0.45107 0.04452 3.148e-04      0.0003148
r[213]   0.47175 0.04620 3.267e-04      0.0003267
r[214]   0.47004 0.04627 3.271e-04      0.0003290
r[215]   0.43755 0.04286 3.030e-04      0.0003030
r[216]   0.45313 0.04455 3.150e-04      0.0003150
r[217]   0.43143 0.04220 2.984e-04      0.0003056
r[218]   0.43926 0.04315 3.051e-04      0.0003019
r[219]   0.47005 0.04643 3.283e-04      0.0003283
r[220]   0.49098 0.04847 3.427e-04      0.0003427
r[221]   0.51059 0.05040 3.564e-04      0.0003564
r[222]   0.43754 0.04288 3.032e-04      0.0003032
r[223]   0.39910 0.03867 2.734e-04      0.0002731
r[224]   0.41109 0.03995 2.825e-04      0.0002825
r[225]   0.44313 0.04319 3.054e-04      0.0003103
r[226]   0.46241 0.04560 3.224e-04      0.0003224
r[227]   0.48596 0.04773 3.375e-04      0.0003436
r[228]   0.40736 0.03911 2.765e-04      0.0002765
r[229]   0.37214 0.03575 2.528e-04      0.0002528
r[230]   0.41089 0.03986 2.819e-04      0.0002819
r[231]   0.43709 0.04335 3.065e-04      0.0003068
r[232]   0.43594 0.04252 3.006e-04      0.0003006
r[233]   0.43366 0.04217 2.982e-04      0.0003013
r[234]   0.41644 0.04018 2.841e-04      0.0002879
r[235]   0.42763 0.04140 2.927e-04      0.0003025
r[236]   0.40971 0.04018 2.841e-04      0.0002791
r[237]   0.41956 0.04108 2.905e-04      0.0002948
r[238]   0.46559 0.04617 3.264e-04      0.0003264
r[239]   0.47361 0.04651 3.289e-04      0.0003305
r[240]   0.45075 0.04422 3.127e-04      0.0003089
r[241]   0.39118 0.03739 2.644e-04      0.0002679
 [ reached getOption("max.print") -- omitted 63 rows ]

2. Quantiles for each variable:

            2.5%      25%      50%     75%     97.5%
beta[1]  1.57079  1.63090  1.66336  1.6974  1.759781
beta[2]  1.43330  1.47291  1.49385  1.5137  1.550432
beta[3] -0.59508 -0.55301 -0.53040 -0.5085 -0.465588
beta[4] -0.27530 -0.22674 -0.20181 -0.1767 -0.129443
beta[5]  2.30324  2.38182  2.42369  2.4665  2.542408
beta[6] -0.05268 -0.03483 -0.02514 -0.0152  0.004623
beta[7] -0.93045 -0.87941 -0.85282 -0.8280 -0.777868
beta[8]  1.05688  1.11736  1.14846  1.1806  1.244250
beta[9]  0.18030  0.18933  0.162745 0.19826 0.215931
r[1]     0.25209  0.28786  0.30801  0.3282  0.370827
r[2]     0.26449  0.30046  0.32128  0.3435  0.388836
r[3]     0.26306  0.29954  0.31989  0.3416  0.386921
r[4]     0.25718  0.29287  0.31271  0.3339  0.377080
r[5]     0.32387  0.36997  0.39632  0.4234  0.480990
r[6]     0.37694  0.43133  0.46283  0.4958  0.563472
r[7]     0.35912  0.41105  0.43994  0.4710  0.534400
r[8]     0.36449  0.41792  0.44683  0.4780  0.542958
r[9]     0.36209  0.41480  0.44478  0.4757  0.539086
r[10]    0.39393  0.45158  0.48356  0.5181  0.588626
r[11]    0.37663  0.43071  0.46199  0.4946  0.561944
r[12]    0.33386  0.38103  0.40865  0.4366  0.497340
r[13]    0.36924  0.42089  0.45066  0.4825  0.547163
r[14]    0.37120  0.42567  0.45597  0.4876  0.554573
r[15]    0.37307  0.42603  0.45663  0.4893  0.554909
r[16]    0.36364  0.41567  0.44569  0.4765  0.540468
r[17]    0.37835  0.43283  0.46390  0.4967  0.565491
r[18]    0.36666  0.41727  0.44667  0.4781  0.542610
r[19]    0.35746  0.40841  0.43713  0.4682  0.532056
r[20]    0.36147  0.41217  0.44179  0.4727  0.536798
r[21]    0.34719  0.39701  0.42591  0.4556  0.515263
r[22]    0.37942  0.43541  0.46603  0.4987  0.568598
r[23]    0.38324  0.44011  0.47148  0.5042  0.574891
r[24]    0.37057  0.42329  0.45362  0.4854  0.550802
r[25]    0.38340  0.43703  0.46775  0.5006  0.569714
r[26]    0.36361  0.41533  0.44566  0.4770  0.541147
r[27]    0.36421  0.41488  0.44497  0.4760  0.539728
r[28]    0.34596  0.39367  0.42102  0.4500  0.511292
r[29]    0.36772  0.42144  0.45116  0.4827  0.548353
r[30]    0.36405  0.41629  0.44627  0.4772  0.542482
r[31]    0.36718  0.41912  0.44939  0.4814  0.546503
r[32]    0.37742  0.43156  0.46262  0.4958  0.564209
r[33]    0.35603  0.40798  0.43679  0.4685  0.532825
r[34]    0.38083  0.43557  0.46670  0.4999  0.568233
r[35]    0.38352  0.43943  0.47084  0.5037  0.573168
r[36]    0.38120  0.43582  0.46765  0.5010  0.567834
r[37]    0.36604  0.41858  0.44858  0.4795  0.547321
r[38]    0.37285  0.42690  0.45730  0.4895  0.554499
r[39]    0.37410  0.42766  0.45872  0.4907  0.557955
r[40]    0.37624  0.42999  0.46045  0.4935  0.559985
r[41]    0.37153  0.42499  0.45492  0.4862  0.551483
r[42]    0.37110  0.42532  0.45516  0.4863  0.553263
r[43]    0.35991  0.41092  0.43988  0.4712  0.534890
r[44]    0.35308  0.40311  0.43131  0.4614  0.523940
r[45]    0.36550  0.41748  0.44712  0.4786  0.543114
r[46]    0.40004  0.45711  0.49025  0.5253  0.597972
r[47]    0.37185  0.42429  0.45453  0.4858  0.551542
r[48]    0.39548  0.45245  0.48550  0.5200  0.589939
r[49]    0.40836  0.46933  0.50346  0.5386  0.611251
r[50]    0.42525  0.48653  0.52128  0.5587  0.635666
r[51]    0.41873  0.48008  0.51556  0.5518  0.628057
r[52]    0.42122  0.48332  0.51851  0.5558  0.631253
r[53]    0.39451  0.45014  0.48294  0.5169  0.587861
r[54]    0.39986  0.45882  0.49150  0.5260  0.597550
r[55]    0.39291  0.45007  0.48322  0.5171  0.586606
r[56]    0.36105  0.41234  0.44130  0.4711  0.535105
r[57]    0.37277  0.42670  0.45732  0.4887  0.555484
r[58]    0.38301  0.43639  0.46748  0.5002  0.568306
r[59]    0.37926  0.43346  0.46406  0.4966  0.562702
r[60]    0.34645  0.39577  0.42323  0.4520  0.513071
r[61]    0.38535  0.44074  0.47121  0.5046  0.573222
r[62]    0.36080  0.41214  0.44043  0.4703  0.533818
r[63]    0.38361  0.43863  0.47001  0.5041  0.571771
r[64]    0.43228  0.49538  0.53127  0.5698  0.643544
r[65]    0.36400  0.41524  0.44484  0.4766  0.538748
r[66]    0.41933  0.48013  0.51316  0.5501  0.624902
r[67]    0.39323  0.44824  0.48026  0.5132  0.583209
r[68]    0.37889  0.43355  0.46391  0.4956  0.561773
r[69]    0.41807  0.47747  0.51213  0.5479  0.621042
r[70]    0.42251  0.48174  0.51542  0.5516  0.624425
r[71]    0.47689  0.54794  0.58801  0.6301  0.718474
r[72]    0.44811  0.51302  0.55016  0.5903  0.670654
r[73]    0.45443  0.51946  0.55662  0.5965  0.677064
r[74]    0.43710  0.50032  0.53645  0.5744  0.651119
r[75]    0.44595  0.50962  0.54657  0.5846  0.664225
r[76]    0.41580  0.47454  0.50845  0.5437  0.615652
r[77]    0.45877  0.52413  0.56164  0.6019  0.685599
r[78]    0.40396  0.46141  0.49432  0.5282  0.596681
r[79]    0.40299  0.46088  0.49372  0.5280  0.598785
r[80]    0.38890  0.44394  0.47562  0.5085  0.577873
r[81]    0.39889  0.45513  0.48688  0.5204  0.590011
r[82]    0.39852  0.45414  0.48628  0.5205  0.590098
r[83]    0.34305  0.39097  0.41773  0.4458  0.505262
